id,date,time,day,city,area,area_type,weather,crime_type,risk_score,risk_level,latitude,longitude,narrative
45,2024-08-12,12:45,Monday,Kolkata,Park Street,Educational,Clear,Assault,34.4,Medium,22.5594,88.4109,"A physical assault was reported near a public gathering spot in Park Street, Kolkata."
46,2023-10-07,13:45,Saturday,Jaipur,C Scheme,Residential,Clear,Burglary,52.0,Medium,26.9482,75.8142,"Forced entry and burglary was reported at a residence in C Scheme, Jaipur."
47,2024-02-08,18:00,Thursday,Delhi,Connaught Place,Industrial,Clear,Robbery,85.6,High,28.6995,77.0485,"An armed robbery incident was reported at a shop in Connaught Place, Delhi."
48,2024-04-10,10:30,Wednesday,Pune,Kothrud,Commercial,Foggy,Others,28.8,Low,18.511,73.8969,"A minor altercation/disturbance was reported near an institution in Kothrud, Pune."
49,2023-12-25,07:00,Monday,Bangalore,MG Road,Educational,Clear,Others,58.2,Medium,12.9355,77.537,"A miscellaneous public-nuisance/disturbance case was reported in MG Road, Bangalore."
50,2024-04-29,21:00,Monday,Chennai,Velachery,Educational,Cloudy,Assault,49.3,Medium,13.067,80.2834,"An assault case was reported following an altercation in Velachery, Chennai."
51,2023-01-27,09:45,Friday,Delhi,Rohini,Commercial,Foggy,Robbery,73.2,High,28.7152,77.1422,"A robbery was reported near Rohini, Delhi — valuables snatched from a pedestrian."
52,2024-09-06,03:00,Friday,Mumbai,Kurla,Educational,Rainy,Burglary,71.8,High,19.0243,72.8954,"A house burglary was reported in a residential complex in Kurla, Mumbai while occupants were away."
53,2023-04-19,13:30,Wednesday,Kolkata,Dum Dum,Commercial,Foggy,Robbery,29.9,Low,22.6007,88.4198,"An armed robbery incident was reported at a shop in Dum Dum, Kolkata."
54,2024-08-29,08:30,Thursday,Lucknow,Mahanagar,Residential,Cloudy,Theft,45.4,Medium,26.8925,80.9155,"A pickpocketing incident was reported in a crowded market in Mahanagar, Lucknow."
55,2023-12-11,00:45,Monday,Lucknow,Aminabad,Industrial,Rainy,Robbery,53.3,Medium,26.8824,80.927,"A chain/bag-snatching robbery was reported on the main road in Aminabad, Lucknow."
56,2023-07-15,02:15,Saturday,Hyderabad,Hitech City,Residential,Foggy,Burglary,46.0,Medium,17.4079,78.5042,"Forced entry and burglary was reported at a residence in Hitech City, Hyderabad."
57,2023-08-15,12:15,Tuesday,Ahmedabad,Navrangpura,Commercial,Rainy,Robbery,57.8,Medium,23.0289,72.5527,"A chain/bag-snatching robbery was reported on the main road in Navrangpura, Ahmedabad."
58,2023-12-27,22:45,Wednesday,Jaipur,Sanganer,Educational,Rainy,Assault,62.5,Medium,26.939,75.7652,"An assault case was reported following an altercation in Sanganer, Jaipur."
59,2024-05-10,08:30,Friday,Chennai,Adyar,Commercial,Clear,Robbery,46.5,Medium,13.066,80.247,"A chain/bag-snatching robbery was reported on the main road in Adyar, Chennai."
60,2023-02-25,17:30,Saturday,Jaipur,Vaishali Nagar,Commercial,Cloudy,Theft,61.1,Medium,26.8647,75.7288,"A pickpocketing incident was reported in a crowded market in Vaishali Nagar, Jaipur."
61,2023-07-08,01:30,Saturday,Ahmedabad,Naranpura,Residential,Foggy,Robbery,64.6,Medium,23.0215,72.5806,"A chain/bag-snatching robbery was reported on the main road in Naranpura, Ahmedabad."
62,2024-07-30,09:00,Tuesday,Bangalore,Indiranagar,Commercial,Cloudy,Theft,39.7,Medium,12.9844,77.6295,"A theft case was reported in Indiranagar, Bangalore — a two-wheeler was stolen from a parking area."
63,2024-03-29,09:45,Friday,Jaipur,Bani Park,Residential,Rainy,Robbery,55.7,Medium,26.9676,75.7392,"A robbery was reported near Bani Park, Jaipur — valuables snatched from a pedestrian."
64,2023-06-10,07:15,Saturday,Chennai,Guindy,Residential,Clear,Burglary,42.3,Medium,13.1054,80.2671,"A house burglary was reported in a residential complex in Guindy, Chennai while occupants were away."
65,2024-12-24,09:45,Tuesday,Chennai,Guindy,Residential,Clear,Others,48.1,Medium,13.1172,80.2857,"A miscellaneous public-nuisance/disturbance case was reported in Guindy, Chennai."
66,2024-10-25,04:30,Friday,Kolkata,Salt Lake,Residential,Cloudy,Theft,16.1,Low,22.5495,88.3938,"A shop reported theft of goods overnight in Salt Lake, Kolkata."
67,2024-12-06,09:45,Friday,Hyderabad,Begumpet,Commercial,Rainy,Robbery,38.0,Medium,17.3347,78.4315,"An armed robbery incident was reported at a shop in Begumpet, Hyderabad."
68,2023-08-23,21:00,Wednesday,Pune,Viman Nagar,Commercial,Rainy,Theft,41.8,Medium,18.4814,73.859,"A pickpocketing incident was reported in a crowded market in Viman Nagar, Pune."
69,2024-08-22,13:45,Thursday,Hyderabad,Secunderabad,Residential,Clear,Burglary,35.7,Medium,17.3635,78.4393,"A house burglary was reported in a residential complex in Secunderabad, Hyderabad while occupants were away."
70,2024-12-11,15:30,Wednesday,Pune,Aundh,Residential,Foggy,Burglary,35.6,Medium,18.515,73.8344,"Forced entry and burglary was reported at a residence in Aundh, Pune."
71,2023-01-02,21:45,Monday,Mumbai,Colaba,Educational,Foggy,Assault,44.1,Medium,19.0907,72.8775,"A physical assault was reported near a public gathering spot in Colaba, Mumbai."
72,2023-10-01,17:15,Sunday,Bangalore,Whitefield,Industrial,Rainy,Theft,49.2,Medium,12.9262,77.6514,"A shop reported theft of goods overnight in Whitefield, Bangalore."
73,2023-11-15,17:00,Wednesday,Chennai,Velachery,Educational,Foggy,Others,44.9,Medium,13.1323,80.2661,"A miscellaneous public-nuisance/disturbance case was reported in Velachery, Chennai."
74,2023-10-26,16:30,Thursday,Delhi,Vasant Kunj,Educational,Foggy,Others,58.3,Medium,28.6733,77.1087,"A minor altercation/disturbance was reported near an institution in Vasant Kunj, Delhi."
75,2023-03-13,08:45,Monday,Chennai,Velachery,Educational,Rainy,Others,51.3,Medium,13.1212,80.2446,"A minor altercation/disturbance was reported near an institution in Velachery, Chennai."
76,2023-06-02,14:45,Friday,Lucknow,Mahanagar,Residential,Rainy,Burglary,42.4,Medium,26.832,80.9981,"A house burglary was reported in a residential complex in Mahanagar, Lucknow while occupants were away."
77,2023-08-28,13:00,Monday,Chennai,Mylapore,Commercial,Rainy,Theft,48.3,Medium,13.1201,80.257,"A shop reported theft of goods overnight in Mylapore, Chennai."
78,2023-02-07,04:30,Tuesday,Delhi,Vasant Kunj,Educational,Clear,Others,53.2,Medium,28.7072,77.0973,"A miscellaneous public-nuisance/disturbance case was reported in Vasant Kunj, Delhi."
79,2023-09-29,10:45,Friday,Kolkata,Howrah,Commercial,Clear,Assault,33.4,Medium,22.6157,88.3495,"A physical assault was reported near a public gathering spot in Howrah, Kolkata."
80,2024-09-24,02:15,Tuesday,Ahmedabad,Navrangpura,Commercial,Rainy,Robbery,77.9,High,23.0146,72.5232,"A chain/bag-snatching robbery was reported on the main road in Navrangpura, Ahmedabad."
81,2023-11-03,00:00,Friday,Mumbai,Malad,Commercial,Rainy,Robbery,64.7,Medium,19.061,72.8352,"A chain/bag-snatching robbery was reported on the main road in Malad, Mumbai."
82,2023-06-24,05:00,Saturday,Kolkata,Howrah,Commercial,Foggy,Robbery,31.1,Low,22.6221,88.3211,"An armed robbery incident was reported at a shop in Howrah, Kolkata."
83,2023-09-19,21:00,Tuesday,Hyderabad,Begumpet,Commercial,Foggy,Theft,47.4,Medium,17.344,78.4797,"A pickpocketing incident was reported in a crowded market in Begumpet, Hyderabad."
84,2024-03-10,22:30,Sunday,Lucknow,Alambagh,Residential,Foggy,Assault,64.7,Medium,26.8329,80.9442,"An assault case was reported following an altercation in Alambagh, Lucknow."
85,2024-08-11,09:30,Sunday,Kolkata,Esplanade,Commercial,Clear,Theft,35.8,Medium,22.5455,88.3718,"A shop reported theft of goods overnight in Esplanade, Kolkata."
86,2023-10-21,07:30,Saturday,Bangalore,Yelahanka,Industrial,Cloudy,Theft,39.4,Medium,12.9929,77.6211,"A shop reported theft of goods overnight in Yelahanka, Bangalore."
87,2024-10-04,20:00,Friday,Delhi,Karol Bagh,Commercial,Rainy,Robbery,91.0,High,28.6879,77.0583,"An armed robbery incident was reported at a shop in Karol Bagh, Delhi."
88,2023-06-29,06:15,Thursday,Pune,Aundh,Residential,Rainy,Burglary,30.7,Low,18.5601,73.8275,"Forced entry and burglary was reported at a residence in Aundh, Pune."
89,2024-04-24,02:15,Wednesday,Hyderabad,Madhapur,Industrial,Cloudy,Theft,47.8,Medium,17.4426,78.5428,"A shop reported theft of goods overnight in Madhapur, Hyderabad."
90,2023-01-15,08:00,Sunday,Pune,Hinjewadi,Industrial,Foggy,Theft,31.4,Low,18.4919,73.8424,"A shop reported theft of goods overnight in Hinjewadi, Pune."
91,2024-11-22,07:45,Friday,Pune,Hinjewadi,Industrial,Clear,Others,33.3,Medium,18.4998,73.8699,"A miscellaneous public-nuisance/disturbance case was reported in Hinjewadi, Pune."
92,2023-04-30,04:00,Sunday,Ahmedabad,Bapunagar,Residential,Clear,Burglary,53.2,Medium,22.9742,72.6179,"A house burglary was reported in a residential complex in Bapunagar, Ahmedabad while occupants were away."
93,2024-01-15,21:45,Monday,Kolkata,Dum Dum,Commercial,Cloudy,Robbery,36.0,Medium,22.6126,88.3778,"An armed robbery incident was reported at a shop in Dum Dum, Kolkata."
94,2024-03-31,07:30,Sunday,Bangalore,Electronic City,Commercial,Clear,Robbery,47.9,Medium,13.0198,77.612,"A robbery was reported near Electronic City, Bangalore — valuables snatched from a pedestrian."
95,2023-07-14,03:45,Friday,Kolkata,New Town,Educational,Clear,Burglary,31.1,Low,22.5843,88.3065,"Forced entry and burglary was reported at a residence in New Town, Kolkata."
96,2024-08-01,06:00,Thursday,Chennai,Velachery,Educational,Cloudy,Others,42.1,Medium,13.0507,80.3036,"A miscellaneous public-nuisance/disturbance case was reported in Velachery, Chennai."
97,2023-05-14,17:30,Sunday,Hyderabad,Secunderabad,Residential,Cloudy,Burglary,38.4,Medium,17.3408,78.4697,"A house burglary was reported in a residential complex in Secunderabad, Hyderabad while occupants were away."
98,2023-01-17,05:30,Tuesday,Lucknow,Chowk,Residential,Clear,Burglary,38.0,Medium,26.8003,80.8938,"Forced entry and burglary was reported at a residence in Chowk, Lucknow."
99,2024-04-07,16:15,Sunday,Pune,Hinjewadi,Industrial,Clear,Burglary,34.8,Medium,18.5395,73.8329,"A house burglary was reported in a residential complex in Hinjewadi, Pune while occupants were away."
100,2024-02-16,13:00,Friday,Bangalore,Yelahanka,Industrial,Foggy,Theft,42.6,Medium,13.0195,77.5733,"A theft case was reported in Yelahanka, Bangalore — a two-wheeler was stolen from a parking area."
101,2023-10-09,19:30,Monday,Mumbai,Bandra,Residential,Foggy,Burglary,61.4,Medium,19.0704,72.8904,"A house burglary was reported in a residential complex in Bandra, Mumbai while occupants were away."
102,2024-03-16,14:15,Saturday,Mumbai,Borivali,Commercial,Foggy,Robbery,40.4,Medium,19.0659,72.8291,"An armed robbery incident was reported at a shop in Borivali, Mumbai."
103,2024-01-19,04:45,Friday,Pune,Viman Nagar,Commercial,Clear,Robbery,26.6,Low,18.5122,73.8861,"An armed robbery incident was reported at a shop in Viman Nagar, Pune."
104,2024-08-23,17:30,Friday,Delhi,Connaught Place,Industrial,Clear,Assault,86.0,High,28.757,77.0933,"An assault case was reported following an altercation in Connaught Place, Delhi."
105,2024-08-14,16:15,Wednesday,Hyderabad,Dilsukhnagar,Commercial,Cloudy,Robbery,41.7,Medium,17.338,78.5281,"An armed robbery incident was reported at a shop in Dilsukhnagar, Hyderabad."
106,2024-08-10,07:45,Saturday,Mumbai,Kurla,Educational,Clear,Others,56.2,Medium,19.0992,72.8212,"A minor altercation/disturbance was reported near an institution in Kurla, Mumbai."
107,2023-12-26,00:15,Tuesday,Hyderabad,Madhapur,Industrial,Cloudy,Theft,43.1,Medium,17.342,78.5027,"A theft case was reported in Madhapur, Hyderabad — a two-wheeler was stolen from a parking area."
108,2024-01-21,13:45,Sunday,Mumbai,Borivali,Commercial,Rainy,Robbery,36.0,Medium,19.0549,72.9307,"A chain/bag-snatching robbery was reported on the main road in Borivali, Mumbai."
109,2023-06-09,05:00,Friday,Mumbai,Andheri,Residential,Clear,Burglary,47.9,Medium,19.0743,72.8707,"Forced entry and burglary was reported at a residence in Andheri, Mumbai."
110,2023-04-24,09:45,Monday,Chennai,Anna Nagar,Commercial,Rainy,Robbery,39.5,Medium,13.0946,80.2116,"An armed robbery incident was reported at a shop in Anna Nagar, Chennai."
111,2023-09-19,09:30,Tuesday,Chennai,Velachery,Educational,Clear,Others,32.5,Low,13.0438,80.2563,"A miscellaneous public-nuisance/disturbance case was reported in Velachery, Chennai."
112,2023-03-15,12:00,Wednesday,Jaipur,Sanganer,Educational,Foggy,Others,42.6,Medium,26.9559,75.7964,"A minor altercation/disturbance was reported near an institution in Sanganer, Jaipur."
113,2023-04-28,12:00,Friday,Kolkata,New Town,Educational,Rainy,Others,18.4,Low,22.5678,88.3867,"A minor altercation/disturbance was reported near an institution in New Town, Kolkata."
114,2023-04-19,07:45,Wednesday,Mumbai,Colaba,Educational,Foggy,Burglary,42.9,Medium,19.0532,72.8584,"Forced entry and burglary was reported at a residence in Colaba, Mumbai."
115,2024-06-06,20:00,Thursday,Delhi,Karol Bagh,Commercial,Cloudy,Robbery,85.8,High,28.7314,77.1408,"A robbery was reported near Karol Bagh, Delhi — valuables snatched from a pedestrian."
116,2023-05-30,08:15,Tuesday,Chennai,Anna Nagar,Commercial,Cloudy,Theft,46.0,Medium,13.1014,80.232,"A shop reported theft of goods overnight in Anna Nagar, Chennai."
117,2024-07-31,18:45,Wednesday,Ahmedabad,Naranpura,Residential,Rainy,Burglary,67.2,High,22.9806,72.5196,"Forced entry and burglary was reported at a residence in Naranpura, Ahmedabad."
118,2024-08-28,01:30,Wednesday,Hyderabad,Dilsukhnagar,Commercial,Clear,Robbery,45.0,Medium,17.3318,78.5265,"A robbery was reported near Dilsukhnagar, Hyderabad — valuables snatched from a pedestrian."
119,2024-04-18,18:00,Thursday,Mumbai,Colaba,Educational,Foggy,Burglary,57.8,Medium,19.0386,72.8903,"A house burglary was reported in a residential complex in Colaba, Mumbai while occupants were away."
120,2023-04-16,10:00,Sunday,Bangalore,Yelahanka,Industrial,Cloudy,Theft,28.9,Low,13.0305,77.5975,"A shop reported theft of goods overnight in Yelahanka, Bangalore."
121,2023-10-17,12:45,Tuesday,Delhi,Lajpat Nagar,Commercial,Rainy,Robbery,72.0,High,28.7198,77.0827,"An armed robbery incident was reported at a shop in Lajpat Nagar, Delhi."
122,2023-10-18,08:15,Wednesday,Mumbai,Colaba,Educational,Rainy,Others,37.8,Medium,19.126,72.8549,"A minor altercation/disturbance was reported near an institution in Colaba, Mumbai."
123,2023-11-14,17:45,Tuesday,Delhi,Karol Bagh,Commercial,Rainy,Robbery,87.4,High,28.7436,77.1312,"A chain/bag-snatching robbery was reported on the main road in Karol Bagh, Delhi."
124,2024-03-09,16:30,Saturday,Jaipur,Malviya Nagar,Residential,Clear,Theft,49.0,Medium,26.8781,75.841,"A pickpocketing incident was reported in a crowded market in Malviya Nagar, Jaipur."
125,2023-05-21,04:00,Sunday,Chennai,Adyar,Commercial,Rainy,Robbery,47.8,Medium,13.1152,80.3109,"A chain/bag-snatching robbery was reported on the main road in Adyar, Chennai."
126,2024-09-24,04:45,Tuesday,Bangalore,Electronic City,Commercial,Cloudy,Assault,34.8,Medium,13.0041,77.6317,"An assault case was reported following an altercation in Electronic City, Bangalore."
127,2024-02-25,11:15,Sunday,Ahmedabad,Navrangpura,Commercial,Foggy,Theft,57.8,Medium,23.0566,72.5395,"A theft case was reported in Navrangpura, Ahmedabad — a two-wheeler was stolen from a parking area."
128,2023-07-18,11:45,Tuesday,Hyderabad,Begumpet,Commercial,Foggy,Theft,39.3,Medium,17.3853,78.4769,"A theft case was reported in Begumpet, Hyderabad — a two-wheeler was stolen from a parking area."
129,2023-09-14,01:45,Thursday,Chennai,Velachery,Educational,Rainy,Robbery,58.4,Medium,13.1242,80.3128,"An armed robbery incident was reported at a shop in Velachery, Chennai."
130,2023-10-07,14:15,Saturday,Mumbai,Bandra,Residential,Foggy,Burglary,43.2,Medium,19.114,72.9239,"A house burglary was reported in a residential complex in Bandra, Mumbai while occupants were away."
131,2024-02-10,16:30,Saturday,Kolkata,Park Street,Educational,Cloudy,Theft,28.4,Low,22.5395,88.3421,"A theft case was reported in Park Street, Kolkata — a two-wheeler was stolen from a parking area."
132,2023-10-21,15:15,Saturday,Pune,Camp,Commercial,Foggy,Robbery,41.5,Medium,18.4699,73.8274,"A robbery was reported near Camp, Pune — valuables snatched from a pedestrian."
133,2023-04-24,09:15,Monday,Jaipur,Bani Park,Residential,Rainy,Theft,45.1,Medium,26.9291,75.802,"A theft case was reported in Bani Park, Jaipur — a two-wheeler was stolen from a parking area."
134,2024-09-03,17:00,Tuesday,Mumbai,Malad,Commercial,Cloudy,Robbery,53.2,Medium,19.0162,72.86,"A chain/bag-snatching robbery was reported on the main road in Malad, Mumbai."
135,2024-11-11,21:00,Monday,Kolkata,Howrah,Commercial,Rainy,Robbery,25.4,Low,22.5735,88.4225,"A chain/bag-snatching robbery was reported on the main road in Howrah, Kolkata."
136,2023-02-14,20:45,Tuesday,Bangalore,Hebbal,Educational,Rainy,Robbery,49.2,Medium,13.0062,77.576,"A chain/bag-snatching robbery was reported on the main road in Hebbal, Bangalore."
137,2023-12-27,17:30,Wednesday,Mumbai,Powai,Commercial,Cloudy,Theft,52.8,Medium,19.1337,72.8751,"A theft case was reported in Powai, Mumbai — a two-wheeler was stolen from a parking area."
138,2024-04-13,01:30,Saturday,Delhi,Karol Bagh,Commercial,Cloudy,Robbery,83.8,High,28.6491,77.1545,"A chain/bag-snatching robbery was reported on the main road in Karol Bagh, Delhi."
139,2023-09-17,01:15,Sunday,Kolkata,Dum Dum,Commercial,Rainy,Theft,32.4,Low,22.6165,88.3437,"A theft case was reported in Dum Dum, Kolkata — a two-wheeler was stolen from a parking area."
140,2024-02-14,23:45,Wednesday,Pune,Aundh,Residential,Foggy,Theft,37.8,Medium,18.5434,73.8408,"A shop reported theft of goods overnight in Aundh, Pune."
141,2023-03-22,13:15,Wednesday,Hyderabad,Ameerpet,Residential,Rainy,Theft,38.1,Medium,17.4043,78.4635,"A shop reported theft of goods overnight in Ameerpet, Hyderabad."
142,2024-12-07,14:30,Saturday,Kolkata,Howrah,Commercial,Foggy,Burglary,22.5,Low,22.5549,88.4237,"Forced entry and burglary was reported at a residence in Howrah, Kolkata."
143,2024-02-20,11:15,Tuesday,Bangalore,Koramangala,Residential,Clear,Burglary,40.8,Medium,13.0054,77.5388,"A house burglary was reported in a residential complex in Koramangala, Bangalore while occupants were away."
144,2024-01-06,12:00,Saturday,Chennai,Tambaram,Residential,Cloudy,Others,51.2,Medium,13.0673,80.3023,"A miscellaneous public-nuisance/disturbance case was reported in Tambaram, Chennai."
145,2024-02-12,10:30,Monday,Jaipur,Sanganer,Educational,Cloudy,Robbery,56.0,Medium,26.8747,75.7894,"A chain/bag-snatching robbery was reported on the main road in Sanganer, Jaipur."
146,2023-09-24,22:45,Sunday,Mumbai,Kurla,Educational,Cloudy,Assault,75.4,High,19.126,72.8766,"An assault case was reported following an altercation in Kurla, Mumbai."
147,2024-04-07,05:45,Sunday,Delhi,Karol Bagh,Commercial,Clear,Others,72.5,High,28.7625,77.1226,"A miscellaneous public-nuisance/disturbance case was reported in Karol Bagh, Delhi."
